Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Single Arm Kettlebell Bottoms Up Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Goblet Horse Stance Squat,https://youtu.be/ZZ1piVHgy_8?si=I9HrW8xbkLx_UyJS,,Novice,Quadriceps,Gluteus Maximus,,,Kettlebell,1,,,Horse Stance Standing,Double Arm,Continuous,Goblet,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,
Suspension Alternating Curtsy Lunge,,,Novice,Quadriceps,Gluteus Maximus,,,Suspension Trainer,1,,,Standing,Double Arm,Continuous,Neutral,No Load,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Kettlebell Alternating Forward Lunge Snatch,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Anterior Deltoids,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Barbell Front Rack Alternating Forward Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Barbell Front Rack Alternating Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Barbell Overhead Alternating Forward Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Macebell 360,https://youtu.be/WMog8YuuVaM?si=WsH2sh1FFH3SBamT,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
Single Arm Macebell 360,https://youtu.be/ITUpuwk3odY?si=KGOrc3k9Flt-oF1v,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,
Macebell 10 to 2 ,https://youtu.be/6FjCQJRBNlo?si=RBXNRNqOkwVOMCGq,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Macebell Barbarian Squat,https://youtu.be/Gj3ancpDFKU?si=TKfk3RmqTwztmb1j,,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,
Single Arm Macebell Barbarian Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Posterior Deltoids,,Macebell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Unilateral,
Macebell Ballistic Curl,https://youtu.be/e8aZdfRK4FE?si=VtO52sSIMj0T-KCF,,Novice,Biceps,Biceps Brachii,,,Macebell,1,,,Standing,Double Arm,Alternating,Mixed Grip,,Single Exercise,,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
Macebell Single Leg Standing Ballistic Curl,,,Intermediate,Biceps,Biceps Brachii,,,Macebell,1,,,Single Leg Standing,Double Arm,Alternating,Mixed Grip,,Single Exercise,,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Balance
Macebell Half Knee Hover Low to High Chop,,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Macebell,1,,,Half Knee Hover,Double Arm,Continuous,Mixed Grip,,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Balance
Single Arm Macebell Single Leg Standing Bent Knee 360,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Balance
Double Indian Club Outer Heart Shaped Swing,,https://youtu.be/JB6fUPZENjk?si=9PxJ_yGmGMK_BCjA,Intermediate,Shoulders,Posterior Deltoids,,,Indian Club,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,,,Bilateral,Mobility
Single Arm Indian Club Outer Heart Shaped Swing,,,Novice,Shoulders,Posterior Deltoids,,,Indian Club,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,,,Unilateral,Mobility
Macebell Front Swing to 360,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Bilateral,
Macebell Alternating Front Swing to 360,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Clubbell Swing to Gamma Cast,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,Hip Hinge,,Transverse Plane,Sagittal Plane,,Full Body,Pull,Compound,Bilateral,
Macebell Alternating 360,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
Macebell Bulgarian Split Squat to Alternating 360,,,Advanced,Quadriceps,Quadriceps Femoris,Posterior Deltoids,,Macebell,1,,,Single Leg Supported,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Knee Dominant,Rotational,,Transverse Plane,Sagittal Plane,,Full Body,Push & Pull,Compound,Unilateral,
Single Arm Landmine Single Leg Standing Bent Knee Ipsilateral Shoulder Press,,,Advanced,Shoulders,Anterior Deltoids,,,Landmine,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Ipsilateral,Balance
Single Arm Landmine Single Leg Standing Bent Knee Contralateral Shoulder Press,,,Advanced,Shoulders,Anterior Deltoids,,,Landmine,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Balance
Alternating Single Arm Landmine Single Leg Standing Bent Knee Shoulder Press,,,Advanced,Shoulders,Anterior Deltoids,,,Landmine,1,,,Single Leg Standing Bent Knee,Single Arm,Alternating,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,Frontal Plane,,Upper Body,Push,Compound,Unilateral,Balance
Double Kettlebell Feet Elevated Renegade Row,https://youtu.be/_eVC54UW6eE?si=6tC__RV3slyYwUuP,,Advanced,Back,Latissimus Dorsi,,,Kettlebell,2,,,Prone,Double Arm,Alternating,Neutral,Other,Single Exercise,Horizontal Pull,Anti-Extension,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Double Kettlebell Feet Elevated Renegade Row Push Up,https://youtu.be/9hZ1mWk3-gA?si=Tko55A45WxNaGz27,,Advanced,Back,Latissimus Dorsi,,,Kettlebell,2,,,Prone,Double Arm,Alternating,Neutral,Other,Single Exercise,Horizontal Pull,Horizontal Push,Anti-Extension,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Bodybuilding
Macebell Alternating 360 to Lateral Uppercut,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Macebell Alternating 360 to Alternating Lateral Lunge Front Press,,,Advanced,Shoulders,Posterior Deltoids,Anterior Deltoids ,Quadriceps Femoris,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Full Body,Push & Pull,Compound,Unilateral,
Clubbell Shield Cast,https://youtu.be/oBdXsknqSEM?si=ZXY5RzE8pchalVjS,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Single Arm Clubbell Shield Cast,https://youtu.be/W2slZ8Mmyvs?si=CDhf0Oi-nPW136Jx,https://youtu.be/LKNgPDX2wRk?si=1Rwdpndok-LHSvp4,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,
Alternating Double Clubbell Shield Cast,https://youtu.be/L1pxDgvsT9s?si=ajAmx9ThwNQY_hj2,https://youtu.be/Iv2zqpFZieg?si=IodKi39vzBzQ2zQ3,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,2,,,Standing,Double Arm,Alternating,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Single Arm Clubbell Inside Circle,https://youtu.be/n8S_z0p25jA?si=fak8MwjeEUMtDoZ2,https://youtu.be/0ZzoCasyoAM?si=2Sqz_R6WjuI_UyAD,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Alternating Double Clubbell Inside Circles,,https://youtu.be/5NkPS-jUzs4?si=mwhdAG5MmUqgjIDS,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Clubbell Inside Circle,https://youtu.be/Exuf3a7RhYs?si=wY_qsUZI87eKFyhX,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Clubbell Alternating Inside Circle,,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Double Clubbell Side Shoulder Cast,,https://youtu.be/cYKB43q_eok?si=6RbJxeIM3Ep5ZCpY,Intermediate,Shoulders,Posterior Deltoids,,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Frontal Plane,,,Upper Body,Pull,Compound,Bilateral,
Double Clubbell Side Shoulder Cast to Side Flag Press,,https://youtu.be/7gN3HVEX32Y?si=uhbq8EnPTL1lhAMh,Intermediate,Shoulders,Posterior Deltoids,,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Combo Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,
Double Clubbell Swipe to Alternating Reverse Lunge Side Shoulder Cast to Side Flag Press,,,Advanced,Shoulders,Posterior Deltoids,Quadriceps Femoris,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Trio Exercise,,,,Frontal Plane,Sagittal Plane,,Full Body,Push & Pull,Compound,Bilateral,
Clubbell Swing to Alternating Side Shoulder Park Squat,,,Intermediate,Glutes,Gluteus Maximus,Quadriceps Femoris,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Double Clubbell Single Leg Standing Bent Knee Side Shoulder Cast to Side Flag Press,,,Advanced,Shoulders,Posterior Deltoids,,,Clubbell,2,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Other,Combo Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,
Clubbell Clean to Barbarian Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Push & Pull,,Bilateral,
Clubbell Mill,https://youtu.be/uIqkGCpjsx8?si=_GzAaZAVU4-bAgla,,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Clubbell Inside Pendulum,https://youtu.be/KPxWt4X3CYQ?si=LHuzEfvY58pZcQ4P,https://youtu.be/sfzt6cLkFW0?si=PS8mGN_7PKhADecq,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Clubbell Half Kneeling Shield Cast,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Half Kneeling,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Clubbell Half Knee Hover Shield Cast,,,Advanced,Shoulders,Posterior Deltoids,Quadriceps Femoris,Rectus Abdominis,Clubbell,1,,,Half Knee Hover,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,Isometric Hold,,Transverse Plane,,,Full Body,Pull,Compound,Bilateral,
Clubbell Single Leg Standing Bent Knee Shield Cast,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Pull,Compound,Bilateral,
Double Clubbell Iron Cross,https://youtu.be/ekVV4qI2q9A?si=E3yTJpSwWDur0p82,https://youtu.be/RwinMV55N5I?si=ZJLkwa3eVFYaxRCq,Intermediate,Shoulders,Posterior Deltoids,,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Frontal Plane,,,Upper Body,Pull,Compound,Bilateral,
Double Clubbell Half Kneeling Iron Cross,,,Intermediate,Shoulders,Posterior Deltoids,,,Clubbell,2,,,Half Kneeling,Double Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Frontal Plane,,,Upper Body,Pull,Compound,Bilateral,
Double Clubbell Half Knee Hover Iron Cross,,,Advanced,Shoulders,Posterior Deltoids,Quadriceps Femoris,,Clubbell,2,,,Half Knee Hover,Double Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Frontal Plane,,,Full Body,Pull,Compound,Bilateral,
Double Clubbell Single Leg Standing Bent Knee Iron Cross,,,Advanced,Shoulders,Posterior Deltoids,Quadriceps Femoris,,Clubbell,2,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Overhead,Single Exercise,,,,Frontal Plane,,,Full Body,Pull,Compound,Bilateral,
Double Kettlebell Half Snatch to Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Double Kettlebell Half Snatch to Front Rack Squat,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Minimus,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Clubbell Alternating Inside Circles,,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Double Clubbell Alternating Reverse Lunge Front Flag Press,,,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids ,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Clubbell Gamma Cast,https://youtu.be/rjhwF50fyd8?si=QUF0Xy2bwv5puUoK,https://youtu.be/5g0iOf5NxXs?si=UG7cC9vvYQB0L2oU,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Bilateral,
Clubbell Half Kneeling Gamma Cast,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Half Kneeling,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Clubbell Half Knee Hover Gamma Cast,,,Advanced,Shoulders,Posterior Deltoids,Quadriceps Femoris,Rectus Abdominis,Clubbell,1,,,Half Knee Hover,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,Isometric Hold,,Transverse Plane,,,Full Body,Pull,Compound,Bilateral,
Clubbell Single Leg Standing Bent Knee Gamma Cast,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Pull,Compound,Bilateral,
Single Arm Clubbell Pullover,https://youtu.be/JJgOmmqZneM?si=v93qv5Poy03NJqj_,,Novice,Shoulders,Posterior Deltoids,Triceps Brachaii,Latissimus Dorsi,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,
Double Clubbell Pullover,https://youtu.be/Ba7aqRxaOUg?si=BHk5uEkV6Y63XxGt,https://youtu.be/d6x6YACiUx8?si=KOdxdmqhKdBF07lE,Novice,Shoulders,Posterior Deltoids,Triceps Brachaii,Latissimus Dorsi,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,
Clubbell Pullover,https://youtu.be/HsM0J39EmXg?si=SEl-b1psTm4dycOy,https://youtu.be/jpIn1Sumg78?si=l1eFqwf4PiMMc7cV,Novice,Shoulders,Posterior Deltoids,Triceps Brachaii,Latissimus Dorsi,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,
Clubbell Side Swing,,https://youtu.be/3xUNQLO3yM8?si=RmfFs0CyQQxx2_H0,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Single Arm Clubbell Side Swing,,,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Single Arm Clubbell Inside Pendulum,https://youtu.be/9JrqgpJfxFs?si=ltubZdnwDPFzi-8r,https://youtu.be/4LqqrNosRiI?si=qH109kha9__Hvhfb,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Double Clubbell Swipe,https://youtu.be/IABFtVxvqdo?si=Krk5vT1xDU9YcRb2,https://youtu.be/Ec7n3S5G3Ko?si=Xbf10Qg6yfyLzV5w,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Latissimus Dorsi,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Single Arm Clubbell Swipe,https://youtu.be/EZNev-kvl6A?si=GsKx6-ERsaOYXjDd,https://youtu.be/4nt-vtNLLo4?si=0zCcsMCYUIoZtp5b,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Latissimus Dorsi,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Single Arm Clubbell Crossbody Swipe,,https://youtu.be/ASZw05sMCxw?si=FN1QEpEENaC46NuX,Intermediate,Abdominals,Obliques,Gluteus Maximus,Latissimus Dorsi,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,,Single Exercise,Rotational,Hip Hinge,,Transverse Plane,Sagittal Plane,,Full Body,,Compound,Unilateral,Ballistics
Macebell Alternating 360 to Front Flag Press,,,Advanced,Shoulders,Posterior Deltoids,Anterior Deltoids ,Rectus Abdominis,Macebell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,
Single Arm Clubbell Inside Circle to Shield Cast,,https://youtu.be/nz_28BY272M?si=nVEPcDEL6vGdESAz,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,Gluteus Maximus,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Pull,Compound,Unilateral,
Clubbell Barbarian Squat,https://youtu.be/SnRUNmL46So?si=LiGATOKJlrhb676E,https://youtu.be/JQ1UxkSqROQ?si=qs0lvcB3j2EsoQOa,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,
Single Arm Clubbell Inside Circle to Outside Circle,,https://youtu.be/V1noG21BO8Q?si=wQHrkhWFJHF0ak8e,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Clubbell Side to Side Swing,,https://youtu.be/W1CVv9d7S2s?si=zhItsVu0-7YPmT9k,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Double Clubbell Barbarian Squat,,https://youtu.be/rkB05p8JKDc?si=pJNkF5RP4J1kn_LL,Novice,Quadriceps,Quadriceps Femoris,Posterior Deltoids,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,
Alternating Single Arm Clubbell Inside Circle,,,Advanced,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell,1,,,Standing,Single Arm,Alternating,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Single Arm Clubbell Side to Side Swing,,https://youtu.be/OmY95XgEy00?si=3-4hWbjWMn1lM8Fz,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Alternating Single Arm Clubbell Side to Side Swing,,https://youtu.be/OIS3xeBhwp0?si=XQoMSwCpgaBf7wdw,Advanced,Abdominals,Obliques,Gluteus Maximus,,Clubbell,1,,,Standing,Single Arm,Alternating,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Clubbell Alternating Pendulum to Gamma Cast,,,Advanced,Shoulders,Posterior Deltoids,Obliques,Rectus Abdominis,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Overhead,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Pull,Compound,Bilateral,
Single Arm Clubbell Single Leg Standing Bent Knee Contralateral Shield Cast,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Clubbell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Full Body,Pull,Compound,Contralateral,Balance
Double Clubbell Side Flag Press,https://youtu.be/_bnWJymK0tU?si=vYh91PF76xgOyPll,https://youtu.be/6p7mbHsX9rA?si=ePxWd06sMmnFRNLu,Intermediate,Shoulders,Medial Deltoids,,,Clubbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Compound,Bilateral,
Clubbell Front Flag Press,https://youtu.be/3_F4oUpYY7Q?si=qgoqjkcK33CSqmX4,,Novice,Shoulders,Anterior Deltoids,Triceps Brachaii,,Clubbell,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Single Arm Clubbell Inside Circle to Front Flag Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachaii,Obliques,Clubbell,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,,,,Transverse Plane,,,Full Body,Push,Compound,Unilateral,
Single Arm Kettlebell Bottoms Up Overhead Adductor Slide,,,Advanced,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
